political, tweet
POLIT,"Biofuel development a burning priority for Obama camp -- chicagotribune.com http://bit.ly/8CzLK"
NOT,"@jozenc Albert's beating is fucked up & it would be nice if Chi got the olympics and all, but Obama has much things on his plate."
NOT,"UK-BBC: Obama hosts race row beer reunion . More #Obama #news - http://tinyurl.com/ltvgvk"
POLIT,"Obama organizers concerned about Palin's health-care clout: http://bit.ly/32tjQb"
POLIT,"Washington Wire: Obama on Bernanke: Ã¢â‚¬ËœBold Action and Outside-the-Box ThinkingÃ¢â‚¬â„¢ http://bit.ly/Yy89J"
NOT,"Obama, Giant Lollipops and Unique Selling Propositions: If you've been involved in sales and/or marketing for any l... http://bit.ly/4EKwD5"
POLIT,"Obama to address prek-6th gr students on 9/8/09 RT @jeffreyeas: @Candice_Jo http://bit.ly/hpTev"
POLIT,"Christ Alive! Sarah Palin on Israel and the Rapture: http://tinyurl.com/ybrgouf (via @denyreligion)"
POLIT,"Mr Obama, I believe “The Thinking Corporation“ is A solution to economic and social issues. http://bit.ly/r5ULE"
POLIT,"Sarah Palin keeps low profile, claims 'higher power' via Facebook ... http://bit.ly/172QQS"
NOT,"Hugh Jackman and the Obama Condom Vendor http://bit.ly/3cMjnp"
POLIT,"Obama To Sell Roadless National Forest Logging... http://bit.ly/p9dwX"
POLIT,"RT @LindaDeMerle: India: “Thousands Rally Against Obama Government“ http://ow.ly/pMqa #HCR #HUMANRIGHTS #PROLIFE"
POLIT,"I hope they are as efficient as my DMV! RT @CeceSurfCityUsa: Over 100 New Federal Bureaucracies Created in Pelosi Health Care Bill"
POLIT,"Serious quanitites of people will be showing up at the Pelosi event in Denver tomorrow. Join them! Be careful; no inflammatory signs. #RedCO"
POLIT,"President Obama will name Howard A. Schmidt, who worked as a cyber security expert at eBay and Microsoft, and serv.. http://htxt.it/l/tsT2xi"
POLIT,"smh. RT @Rob2423 Are kidding me are, u telling me that people are actually standing in line to get the BITCH Sarah Palin's dumb ass book."
POLIT,"@WSJWashington RT: Republicans Blame Obama Policies for Job Losses: using todayÃ¢â‚¬â„¢s report on further job losses.. http://tinyurl.com/msakvv"
POLIT,"TOMORROW I WILL GIVE YOU THE NAMES OF THE FALLEN SOLDIERS SINCE OBAMA WENT TO COPENHAGEN AND IGNORED THE PLEAS FOR HELP!.BLOOD ON HIS HANDS!"
POLIT,"Duncan: Opposition of Obama School Speech “Silly Stuff“ http://bit.ly/ZTNwA (YouTube)"
POLIT,"RT @GeminiLuckyLadi #fact obama gonna break allll us black people off with some $$ in due time<<<seriously? obama does not work for the blac"
NOT,"WebHay.com Chelsea Clinton sÃ¡ÂºÂ¯p lÃƒÂªn xe hoa http://bit.ly/rWvc9"
POLIT,"The Gaggle: Obama: 'Scare Tactics' Are Causing Poll Numbers to Drop http://bit.ly/Wkc7P"
POLIT,"RT @sheaterry: Podcast: Griffith & Blue Dogs, Liberals, And President Obama Selling Out American SecurityÃ¢â‚¬â€œUPDATED: R.. http://bit.ly/5EÃ¢â‚¬Â¦"
POLIT,"Rede vor der Uno: Obama warnt vor Klimakatastrophe http://bit.ly/pQiei"
POLIT,"i bet Obama rigged the nobel peace prize thingy >.>"
POLIT,"@Teriszucs I pressured him to step out for Obama, thinking he was the real deal. Docs don't have time to lobby, flat and simple."
POLIT,"Thank you!! RT @BarackObama: “All Americans should be grateful to both former Pres Clinton and Vice Pres Gore for their extraordinary work.“"
POLIT,"STAD UP AND SAY NO TO THIS STUPID OBAMA HEALTH CARE"
POLIT,"RT @jackiewalorski: What a deal! Obama's going to provide ALL this with no tax increase!! Incredible...hang on to your wallet."
POLIT,"I was #inhighschool and needed a #job but as you can see #fail http://bit.ly/1EhSKy now I need my #iphone back to call #obama"
POLIT,"new blog post--- Rick's anti Obama speech is the top headline on Drudge Report...: I put it on .. http://bit.ly/UZLh9"
POLIT,"Obama encourage les jeux vidÃƒÂ©o http://bit.ly/7HBZg7"
POLIT,"Biden is there with Obama, Gates and Crowley. I guess they wanted to balance the colors out? #p2"
POLIT,"RT: @joegrim: William Shatner reads Sarah Palin's farewell speech http://bit.ly/lwv0N"
POLIT,"RT @SCJMitchP: RT: @devitor HuÃ¢â‚¬â„¢s The Communist: Sarah Palin Knocks 'em Dead At Annual Gridiron Dinner: Sarah Palin.. http://bit.ly/7C34q ..."
POLIT,"Teacher jobs salvaged by stimulus package: Since President Barack Obama signed the bill in February, millions o.. http://bit.ly/Hl2YH"
POLIT,"@ricksanchezcnn You're right; Obama won't back down from any fight - as long as it's someone else doing the actual combat. #chickenhawks"
POLIT,"FBI Says There Is No Palin Investigation http://bit.ly/qnlUn"
POLIT,"RT @KenLiv: Ha! RT @Bexxaloon: Obama dithering on declaring Dick Cheney an enemy combatant."
POLIT,"New blog post: Obama Warns of Return of Swine Flu in the Fall http://bit.ly/UpoGF"
POLIT,"trur TeknologirÃƒÂ¥det er litt vel forelska i Obama..."
POLIT,"RT @financialpost: Obama, Harper seek to ease trade tensions http://bit.ly/pEoVe"
POLIT,"@whitehouse RTPres.Obama“We call on the Iranian govt.to stop violent & unjust actions against its people“ #Iranelection, #Tehran, #goodnight"
POLIT,"Obama: 'I Will End Don't Ask, Don't Tell' http://post.ly/83WV"
POLIT,"LATE RT @scribeguy Obama administration declassifies sea ice photos kept secret by the Bush folks: http://tinyurl.com/lgxxma"
POLIT,"RT @seanknoxville hicks on O model: instead of asking ppl 2 just phonebank, ask them to “deliver x votes on e day“ (ownership) #nn09 #obama"
POLIT,"White House Stays Mum on Clinton Visit to North Korea http://ow.ly/j32o"
POLIT,"RT @richspeer @Crashlndin @johndennis2010 running against #Pelosi,could use ur support, tell ur friends2 follow my campaign& twitter #tcot"
NOT,"Did you see this yet? Obama throw rug @celebrityauto @connectiosprep ( http://bit.ly/3nCqZ5 )"
POLIT,"RT @gwatzlawek: How Obama's Secret Iran Talks Set Stage for a Nuclear Deal. Time http://ow.ly/vbaQ"
POLIT,"RT @HowardKurtz All the cablers taking Obama's presser...I thought he'd have to pay tribute to Jackson to get on the air. // Dick move, H."
POLIT,"Watch this video http://metacafe.com/w/3568656/ on Metacafe - Obama Celebrates Winning the Nobel Peace Prize"
POLIT,"Yes, we can! And yes, it will be on ENEM...http://migre.me/4XRA O Obama poderÃƒÂ¡ estar no #enem"
POLIT,"RT @caferozella: WTF?!? 71% of Repubs would vote for Palin as POTUS. Ugly fact. http://bit.ly/cy3Pd | God, help this country."
POLIT,"RT At the time of his passing, lets honor Ted Kennedy for all his service, not just HC. Pres Obama never mentioned HC in his Tribute to him."
POLIT,"Yahoo Top News: Volcker: Obama plans maintain 'too big to fail' (AP) http://ow.ly/15QTL2"
POLIT,"@42bkdodgr R U OUT OF YOUR MIND? Obama showing a “true“ budget? Liars figure, and figures LIE! Obama stinks!"
POLIT,"Yahoo Top News: Volcker: Obama plans maintain 'too big to fail' (AP) http://ow.ly/15QTL0"
POLIT,"Obama's no fun for political comedians... http://bit.ly/JeRz0"
POLIT,"What happened to Sarah Palin's twitter. It went to SarahPalinUSA verified and now is back to AKGovSarahPalin. Hack? CNN reported on new one."
POLIT,"RT @rsmccain #Copenhagen Obama's Massive FAIL http://tinyurl.com/ykx6nyv (Let It Snow!) PLZ Re-Tweet #tcot #tlot"
POLIT,"@glennbeck : “I think Sarah Palin is going to run for president as a third party candidate.“ yes dont vote “R“ VOTE “Conservative“ thas SP"
POLIT,"RT @marcambinder Obama Admin Hearts DOMA (For Now). Do Gays Still Heart Obama? http://tinyurl.com/lg8eh6; Disappointing but not surprising"
POLIT,"Defense: Heartbeat of America: Broad Spread of Americans Rejects ObamaÃ¢â‚¬â„¢s Decision to Try Terroris.. http://bit.ly/1fOSxw #tcot"
POLIT,"obama and 20 leaders of the richest countries are in pitts. for the g-20 summit it crazy!"
POLIT,"RT @DRBreaking: Barack Obama kommer til klimatopmÃƒÂ¸det i KÃƒÂ¸benhavn, skriver Reuters. http://bit.ly/4NamNH"
POLIT,"I have a way to stop obama and socialism everyone stop working"
POLIT,"RT @owillis: btw, cons are able to watch something like this townhall then insist - w/ straight face -that obama cant speak w/o teleprompter"
NOT,"Yup! Ahmadinejad, obama and mouammar have just joined us too!! welcome to Lion King dAY Commemorations!!"
NOT,"@mjkramer Biden in the joker face is pretty funny."
POLIT,"#yesshesstuckonstupid RT @PunditMom @CraigCheslog @DavidShuster Palin's latest makes her despicable liar.Thoughts? http://ff.im/-6j3Xg"
POLIT,".@fleckman Uhm, Monckton said Obama will cede U.S. sovereignty in Copenhagen in December. Reasonable man's opinion? http://bit.ly/3qXH81"
POLIT,"Wha...HUH?? RT @AlterNet Limbaugh Calls Palin Memoir “One of Most Substantive Policy Books I've Read“ http://bit.ly/2OHXsH #fb"
POLIT,"@SandraLSwanson So when do I get to start blaming Obama for my personal failures and oversights and laziness? We're still in Bush mode. :)"
POLIT,"Fall of the Republic-The Presidency Of Barack H Obama-Part 12: Fall of the Republic-The Presidency Of Barack H .. http://bit.ly/9YqPH"
POLIT,"First reading: Obama's Pacific ambitions play well for New Zealand: It warms up the talks that were put on .. http://bit.ly/1ohnWY"
POLIT,"If opposing Obama makes me a racist that OK cause I no the truth. Well then I guess my black friends that oppose him r 2? Trying 2 figur out"
POLIT,"The IOC said no to Obama. Now it is time for congress and the American people to do the same."
POLIT,"@KatyinIndy At peak? I think Obama's ratings have a long way to go and will be worse than Jimmy Carter's by this time next year."
POLIT,"RT @NeileJones: Sarah Palin at Sams in Fayetteville... First 500 people get wrist band and can get 2 books signed..tune in to KNWA tonight:)"
POLIT,"RT @Miagogo: : Is Obama Really Preparing For Civil War? http://bit.ly/5TUCrM #tcot #tlot #sgp | If he was, maybe he should cut the crap"
POLIT,"After Obama: The anxiety is about an extremist minority. The recent arrest of a group of young Americans who so.. http://bit.ly/1cQLyL"
POLIT,"RT @foxnewspolitics: The Radicalization of Obama's 'Green Czar': Van Jones was arrested in San Francisco in 1992 for... http://bit.ly/NMghu"
NOT,"Really digging this: Wu-Tang album covers done in the style of legendary Blue Note graphic designer Reid Miles: http://bit.ly/L8p2p"
POLIT,"RT @fjstreeter: The liberals have asked us to give Obama time. Would...25 to lifebe appropriate? http://myloc.me/14F4j"
NOT,"QPR: Rangers seal Reid loan deal http://bit.ly/1v1sdn"
POLIT,"Obama's Colorado Heath Care Town Hall is a joke...total joke and an insult to Colorado and the United States."
NOT,"Obama makes fried chicken? http://twitpic.com/d2xej"
POLIT,"Video: Audience Yells “Liar“ At Obama During Health Care Speech to Congress! http://bit.ly/gVn8p"
POLIT,"RT @barbaran61: RT @TJeuro RT @c21sf Is Obama doing a good job?"
POLIT,"RT @Reuters_TopNews Clinton: Israeli settlements not legitimate http://link.reuters.com/peg67f “ending all settlement activity preferable“"
POLIT,"RT @joebernardo: If u hv a gripe abt Obama or WH Tweet it to #whitehouse not #iranelection, we R here 2 support SoG &the good ppl of Iran"
POLIT,"Federal Diary: Bargaining rights loom large : President Obama wants to issue an executive order creating panel.. http://bit.ly/3zknc0"
POLIT,"Obama get lukewarm welcome from Russian media - http://bit.ly/zjuKv"
POLIT,"Downing St: “stories about a 'snub' are completely without foundation... the PM and Pres Obama are having a number of meetings this week“"
POLIT,"Obama calls for new era at U.N.: Sep. 23 - In his first speech to the United Nations General Assembly, President.. http://tinyurl.com/kkpehv"
POLIT,"RT @drelady: RT @BravoAndy best chant so far: “yo, obama, let mama marry mama!“ ...WISH I COULD BE THERE!.. #NEM"
POLIT,"Obama appreciates the broad and indelible impact that country music has had on our nation. What a uniter. http://tiny.cc/mqE3a"
POLIT,"What's on Clinton's plate in Africa? read AP http://bit.ly/14V8UG #clintonafrica"
POLIT,"WSJ covered Obama's decision to go to Copenhagen http://tinyurl.com/yczfer9. Vote at http://tinyurl.com/dbxh22."
POLIT,"I'm going to send funds to Harry Reid's opponent in 2010 and any other Dems Opponent in the Senate for 2010."
POLIT,"@betseyross After giving Obama a “D“ following his first 100 days, maybe America will give him the boot at the end of his term."
POLIT,"The Public Isn't Buying Obama's Smooth Talk.. http://digg.com/d3zHSy"
NOT,"#porn #nsfw Amy Reid under the sun - http://cli.gs/ELh3Z"
POLIT,"Sarah Palin book signing video bit.ly/84cUWS /via @marshallk Going Rogue book review by @stephenathome http://j.mp/4lHnu9 /cc @SarahPalinUSA"
POLIT,"RT @marisum: RT @Persian2English: Arash Hejazi's Letter to Obama in Persian & English #iranelection http://bit.ly/KokNM"
POLIT,"Now I know who should make a statue of Obama: http://bit.ly/15AQvU"
POLIT,"Bill Clinton can come back and replace Obama. http://sadbastards.wordpress.com #wordpress.com"
POLIT,"Aw, man... should I file my Israeli taxes or go rogue, “Palin style“? http://bit.ly/VU56F #israel #aliyah #olehchadash #igoogledisrael"
POLIT,"@Seriou here are some facts about Obama's LIES re: #healthcare and Small Business #OCRA #TCOT #TLOT http://bit.ly/Zdgz8"
POLIT,"President Obama's Speech to Students: A Great Opportunity for ...: Whatever your opinion of President Obama,.. http://tinyurl.com/kjluve"
POLIT,"WhatÃ¢â‚¬â„¢s Obama Leaving Out of His Prescription for America?http://bit.ly/4x0Urb"
POLIT,"RT @ppppolls: 62% of voters in Wilson's district disapprove of his actions, although 42% do think Obama was lying: http://tinyurl.com/mfzcrp"
POLIT,"@Proudlib RT @todayspolitics:Time to Remove Harry Reid as Senate Majority Leade #politics http://bit.ly/3frXHK// PAST time// I'LL Drink2That"
NOT,"RT @reporter4651: RT @WendyShow OMG. What's President Obama's favorite TV show? Watch to find out! http://bit.ly/kE6JN"
POLIT,"{memeorandum} More on Palin - I spoke to a few friends in Alaskan Republican politics yesterday. (M.. http://chilp.it/?1183d2"
POLIT,"I am glad to see Obama spending more time talking about reeling in the “charge whatever Insurance and Drug companies“"
POLIT,"Think Progress Israeli Likud Party Member: The Obama Administration Is An Enemy Of The Jews' http://ow.ly/165rnH"
POLIT,"MacKenzy@#politics->villan obama and michelle actually HURT the chicago effort"
NOT,"Biking teenager shot on Clinton Avenue - Albany Times Union http://bit.ly/NQpGT - #biking #Trike"
NOT,"Designers: Take responsibility for your education. Go to class and listen. Don't let failures define you. Thanks #Obama http://bit.ly/4fclvX"
NOT,"Single White females for Surveyor of Interracial Dating website (Park Slope /Clinton Hill): Looking for mature s.. http://bit.ly/Ufgyf"
POLIT,"It's about time...RT @alleyinsider Obama Wants To Privatize Space Travel http://bit.ly/aPauy"
POLIT,"I've been working alongside ACORN my entire career. -- Pres. Obama"
POLIT,"RT @Heritage Obama to Spend $10.3 Trillion on Welfare: Uncovering Full Cost of Means-Tested Welfare or Aid to Poor http://tinyurl.com/p3oteg"
POLIT,"RT @BostonTweet: Pres. Obama speaking at MIT tomorrow at noon. Expect traffic & T delays/watch live on MIT.edu http://bit.ly/2BOm7P"
POLIT,"Twitter News Michelle Obama's Mommy Bloomers | Chicago News on Twitter: What wizened, saggy chin.. http://bit.ly/3uZPwc"
NOT,"Clinton Portis managed just 42 yards on 12 carries and caught a six-yard pass in the Redskins' Week 3 loss to Detroit."
POLIT,"Good column by @JoeNBC about Pres. Obama's attempt to bring the #2016Olympics home and bipartisanship: http://is.gd/3WuI4 #politics"
POLIT,"D.Ravitch: Ã¢â‚¬Å“Obama ed. visionÃ¢â‚¬Â¦is a business plan, designed by people who know 0 about schools and care 0 about evidence -http://bit.ly/17QJui"
POLIT,"@CeceSurfCityUsa Might be my computer, but I can't open your link on Reagan/Palin model for leadership. #tcot #spwbt #teamsarah #gop #sgp"
POLIT,"Two-Thirds of Obama's Online Fundraising Was Via Email http://ff.im/-7gTOe"
POLIT,"Daily Paul Runs Leftist View Of Sarah Palin Quitting Governor Of ...: Daily Paul Runs Leftist View Of Sarah Pali.. http://bit.ly/2XZ6jI"
POLIT,"RT @TakingBackUSA RT @VetsOnTheWatch The Obama Prayer: http://bit.ly/1tTulX"
POLIT,"RT @LeahRuth Bill Clinton is going to South Korea to free #jaebum from netizens"
POLIT,"Obama signsHateCrimeBill “Because no one in America should ever be afraid to walk down the street holding the hands of the person they love“"
POLIT,"With Each New Revelation About The Obama-Driven Frenzy For “Healthcare Insurance Reform,“ My WHealthcare Idea Looks Better And Better. ..."
POLIT,"Obama honors NASCAR in the White House Lawn!! http://bit.ly/Sbbtp"
POLIT,"Obama is the Anti-Christ! Again!: It won't surprise you to find out that another religious whacko thinks he know.. http://bit.ly/WE1qg"
POLIT,"New InfowarsKC Post: Is Obama a literary fraud? Can of... http://bit.ly/ikOjj"
POLIT,"YourCeres.com says: Obama's Corporate Wellness Initiatives Delivered By Professional ... http://bit.ly/sRsdM"
POLIT,"RT @lezliec Levi Johnston is gainfully employed posing for Playgirl (it's for the gays!) whilst would-be mommy-in-law Palin is unemployed..."
POLIT,"(National News) Obama looks to colleges for future spies http://tinyurl.com/mxvx7u"
POLIT,"Hey Everyone, You Can Sign John McCainÃ¢â‚¬â„¢s Birthday Card With A Personal Message! http://is.gd/1TKAZ #p2 #tcot #sgp #912 #teaparty #tlot #icon"
POLIT,"Dude, you're crazy! RT @OysteinLund @OctavianD Ah, but there R no Liberal politicians in your gov- Obama is center-right conservative #tcot"
NOT,"RT RT @unicornmajik: RT @BluegrassPundit: Very Funny video: Obama And Friends&apos; Holiday Hip Hop: http://bit.ly/7JqwPC #tcot #lol #f.."
POLIT,"Helpful tool to compare the House and Senate health care proposals. http://bit.ly/6bBzQG /via @nytimes -- that's no way to talk about Obama"
POLIT,"Rev. Joseph Lowery and others receive Medal Of Freedom from Pres. Obama in DC today."
NOT,"@natandalex http://twitpic.com/fielm - hey obama is on nats t-shirt look so cool and hot alex should make that kinda of pics"
POLIT,"Palin bails on crowd who waited hours in rain for her to sign their copies of her book. Is booed by them. http://bit.ly/82Y607"
POLIT,"I knew Clinton would get it done. For any faults the man may have, he's a heck of diplomat!"
POLIT,"Lord Christopher Monckton: President Obama Poised to Cede US Sovereignty http://www.libertysarmy.com/"
POLIT,"RT @alejohidalgo: Aunque el otro no le pare, ChÃƒÂ¡vez sigue enamorado de Obama."
POLIT,"I can't believe stores are going out of business when everytime I go in somewhere I spend $100! Obama needs to hire me."
POLIT,"Obama Speaks at the Service for the remembrance of the Sept11,2001,terrorist attacks http://tinyurl.com/l2bhw4 http://tinyurl.com/l2bhw4"
POLIT,"Obama has ordered billions of dollars allocated to creating the “Mark of Beast“ microchip we'll all soon have in America http://is.gd/2RkHb"
POLIT,"Obama and Congress - “DO AS I SAY, not as I do! Or we will KILL YOU SMELLY peasants“ Harry Reid MOB Congress john galt GE Beck"
POLIT,"RT @rdickerhoof In the time it takes to read Pelosi's bill, you could have read the Constitution 111 times. #ocra #tcot #tlot #killbill #hcr"
POLIT,"A brilliant video message on Pelosi care http://bit.ly/2GWyou view it, think, take action: http://bit.ly/1Ayxcq @toddeherman"
POLIT,"RT @jdickerson: Biden wasn't invited to beer summit but showed up b/c he assumed if there was a misunderstanding he must have caused it."
POLIT,"Good news: Obama and IOC to have beer summitt....Bad news: It'll be held in Rio #tcot #obamafail"
POLIT,"Really? RT @gallupnews: Hillary Clinton Now More Popular Than Barack Obama: http://bit.ly/15nqxU #HillaryClinton, #Obama"
NOT,"Bill Clinton Cialis $1.9 Viagra $1.1 http://ejz.imedsshop.cn"
NOT,"Thakoon To Make Brooches, Jewelry For Michelle Obama? http://tinyurl.com/ykzutjv"
POLIT,"People ask is Obama the Antichrist but are there lots of Antichrists? http://bit.ly/2nTUqV"
POLIT,"Sarah Palin to run with Lou Dobbs in 2012 in The All Quitters Party. http://bit.ly/1P0A5m"
POLIT,"What will the 'cap and trade bill' mean for Houston?: President Obama promised sweeping, across-the-board reform.. http://bit.ly/4sUEsl"
POLIT,"[CNN_Video] Campbell talks with her panel about the Obama administration's “Cash for Clunkers“ car re.. http://digg.com/u19weA"
NOT,"@TomGoulding And Andy Reid, always remember Andy Reid...if he gets in the squad."
POLIT,"Are U Kidding Me? ObamaÃ¢â‚¬â„¢s Administration Kills Military Fly Over : What about Nascar's flyovers they pray b4? ( http://bit.ly/2oI6AA )"
POLIT,"RT @senrick58: will be talking obamacare and Palin on FoxNews 1015 ET"
POLIT,"RT @Shoq RT @TeresaKopec: OMG! Alert Andy McCarthy! John McCain isn't wearing a tie on This Week! Clearly Ahmadinejad has gotten to him."
POLIT,"RT @electionsdotfm: White House News: Obama Makes the Case to Small Business http://bit.ly/iCZdN"
POLIT,"The Goldberg-O'Reilly Birther theory: It's an evil Obama plot to make conservatives look like wingnuts http://ff.im/5X9No"
POLIT,"RT @newsbyrss Obama presses for new tone in US ties with Mexico (AP) http://tinyurl.com/mdcpxl"
POLIT,"Ahmadinejad Re-Election Doesn't Deter Obama From Engaging Iran - Bloomberg BBC NewsAhmadinejad Re-Election Doesn&.. http://short.to/fmu9"
POLIT,"RT @adoptnegotiator: New Blog Post: BREAKING: Obama meeting with 18 leaders to “save“ deal http://bit.ly/5zb3qL"
POLIT,"YouTube - Open Your EYES!! THE TRUTH about Obama McCain http://bit.ly/2RqnPx \I like this guy's style!"
NOT,"RT @jessweiss1: Obama!!!! Naughty! http://bit.ly/A0EPQ"
POLIT,"Flawless victory! Kkkk RT @grafhael: Obama wins!!!"
POLIT,"http://bit.ly/21t0o9 Thank you very much David Plouffe for setting the Pres Obama record straight"
POLIT,"Who the hell shined the spotlight on Sarah Palin again?? Between her and this twilight foolishness, I'm going to be cranky all week!"
POLIT,"RT @_nameless: ///.....ok last one for the day. #Ifyou'resleepingonBE[ats]ORIGINAL - then you probably have voted for McCain."
POLIT,"RT @CBSNews: Read the Complete Transcript of Bob Schieffer's Interview with Pres. Obama on 'Face the Nation' http://bit.ly/mqHHG"
POLIT,"Want to know where Obama has eaten in the DC Metro area? http://tr.im/qw3Z #obama (via @washingtonpost)"
POLIT,"LOL haaaa RT @DJDRAMA Bill Clinton proly got the pole on his plane....They rockin out right now...."
POLIT,"RT @ttjemery God Almighty pls liberate the USA from Obama & his gangsters.In Jesus name, Amen//@dmooney9 Maybe God is black//OR a gangster!"
POLIT,"I faxed Collins,Snowe,Baucus,Reid and Hagen today & asked that they present an amendment that would include Congress in their HC plan!!"
POLIT,"I should do something, but I got distracted by Sarah Palin and Alaska and... Cannibalism. These things go together better than you'd think."
POLIT,"I just took the “Which President would you be first lady to?“ quiz and got: Obama! Try it: http://bit.ly/169Wak"
POLIT,"RT @Noagendawiki: #noagenda new page: No Agenda 120: “The Clinton Gore Man Hug“ http://bit.ly/13fu0e"
NOT,"And he doesn't even get paid to be funny: RT @QueenofSpain SC GOP'r likens Michelle Obama to escaped gorilla. http://tinyurl.com/kogvbc"
POLIT,"RT @edobass: BREAKING NEWS!: Obama wants to send military troops to Chile.... #todoporunTrendingTopic"
POLIT,"RT @colombiancoffee: Two DeKalb Cnty Officers suspended for allegedly performing bckgrnd chk on Pres Obama http://bit.ly/qwMJI /NOT Racists!"
POLIT,"Why Sarah Palin should not leave the ... - Hot Air http://bit.ly/2DlkZr"
POLIT,"RT @markos: RT @americablog: FOX's Glenn Beck is on a witch hunt for “communists“ in the Obama administration: http://bit.ly/sERJL"
POLIT,"Obama kept his word, there is change. For all those who wished on his star, be careful for what you wish for."
POLIT,"#politics Obama eyes $313 billion more cuts for healthcare reform http://bit.ly/Me75T"
POLIT,"@KatyinIndy How much of the crisis atmosphere surrounding Obama is of his own making? http://tinyurl.com/ya628ts #tcot #gop #hhrs #sgp #tlot"
POLIT,"Fox News Poll: 43% Would Vote To Re-Elect President Obama http://bit.ly/44jitZ"
POLIT,"Obama wants to cut costs for HC by denying care. But American medical industry is wasteful and deceptive and criminal"
POLIT,"Obama pitching health care plan to the insured http://bit.ly/3Df1qc"
NOT,"RT @southern_bella: did obama really call kanye a jackass? (Wondering if he did as well...)"
POLIT,"RT @RayBeckerman Clinton-era Rule Protecting Forests Upheld http://is.gd/23Krv"
POLIT,"Swine Flu Prevention Video, Obama Declares Swine Flu National Emergency Video a must see: http://bit.ly/SUxlJ"
POLIT,"Obama the Mortal http://bit.ly/1fvErZ His wax-wings have melted! #obama #nobama #liberty #handsoff #astroturf #townhalls #RS #glennbeck"
POLIT,"Jesus. #IworkinNewJersey. | RT @joshtpm: 1/3 of New Jersey conservatives think Obama might be the anti-Christ. http://bit.ly/V7F2K #p2 #tcot"
POLIT,"RT @lisaling: proud of this: http://www.oprah.com/media/20090901-tows-hillary-clinton"
POLIT,"Putting the Obama Stimulus Toward Green Manufacturing http://bit.ly/aCafI"
POLIT,"In Radio Address, Obama Touts Successes of Stimulus Plan - Wall Street Journal: MiamiHerald.comIn Radio Address,.. http://bit.ly/mUYTE"
POLIT,"@Cynicor What? “too liberal“ is a relative statement. I'm to the right then McCain so he is too liberal. I don't like personal name calling."
POLIT,"RT @todayspolitics Obama To Detail His Vision To Remake Health Care #politics http://bit.ly/1oo4Ih"
POLIT,"Obama gets Noble Prize. I cannot understand why?? He has just started the end of Iraq war. Just that..."
NOT,"@libsechumanist Obama http://tiny.cc/Pgz2O"
POLIT,"Looks like Govt 2B creating retirement homes for Tea Partiers, incl. brainwashing: http://tinyurl.com/ktyh9h #tcot #sgp #gop #palin"
POLIT,"Barak Obama is a slick talking man, and i love that! thank for health care reform! i love the new generation!"
POLIT,"@cspanwj The release of Ling and Lee shouldn't be a political issue. Pres. Clinton should be commended for his lending his support."
POLIT,"Obama's plan will work if a diverse panel is created, one with no beaucrates taking bribes, but honest and good people."
POLIT,"Obama takes message to GOP areas - President Barack Obama travels to the Mountain West on Friday, where he hopes t http://godark.us/tu151474"
POLIT,"RT @sarabialb Watching on HBO: By The People, the Election of Barack Obama /I remember fondly & sadly now so many R 4getting that joy"
POLIT,"Clinton, Gore, Schwarzenegger prep 4 Energy Summit, Monday. http://bit.ly/aM7GV #solar #renewable #energy #NCES09 #news #ACES #conservation"
POLIT,"RT @BikeLeague Response to McCain and Coburn http://ow.ly/jbnl Bicycling IS transportation!"
POLIT,"RT @TGIF_HonAdv: So, Hawaii has Jake Shimabukuro and Bette Midler playing for The Queen tonight, and Makana for Obama tomorrow. How cool ..."
POLIT,"Ok I am watching that kid-song for Obama...that is straight creepy."
NOT,"Eminem Cypher, Gucci Mane Performances Ignite BET Hip-Hop Awards: By Shaheem Reid As big a.. http://bit.ly/42OQVi from_Tweet_to_Heaven"
NOT,"watching what not to wear. i wish clinton and stacey would give me five grand."
POLIT,"Obama is listening to Code Pink and MoveOn, not Generals http://bit.ly/1R9hg #tcot (via @longhawl) <-- shortened for RT Read article"
POLIT,"#news : Obama cancels plans for anti-missile radar in Czech Republic http://bit.ly/1bqsW9"
POLIT,"Obama urges bold action to create jobs as economy gains strength http://tinyurl.com/yeotrzj"
POLIT,"RT @philosopher1967 Barack Obama's key climate bill hit by $45m PR campaign http://bit.ly/7L4iu"
POLIT,"Help David Plouffe Beat Sarah Palin's Book today and help raise money for literacy: http://bit.ly/89REAa #BeatPalin4aDay"
POLIT,"I'm hoping Obama tries to educate the American people tonight and doesn't just say why the GOP is wrong."
POLIT,"Health-care reform is now in the hands of the President Obama and Sen. Snowe - Seattle Times http://bit.ly/JS3N5"
POLIT,"Imus: Obama 'Jimmy Carter Stupid' Regarding Wall Street and the Economy: According to Don Imus, it's the late-1.. http://bit.ly/5Effut"
POLIT,"R @Beaufort_TParty Use HASHTAG #AT for Astro Turf .... PLS RETWEET... Astro Turf Congress 10/12, 1 mth after 9/12, send 2 Pelosi & Reid RT"
NOT,"@GradyP09 michelle obama (the hot mama) :)"
POLIT,"RT @WAGNERGIRLE: RT @superlaura: RT @C4P Obama below 50% for the first time in Gallup http://bit.ly/4zMhxq //hard to lie forever!!!"
POLIT,"Obama's Daily Kos attacks Palin for believing in God. Her video is worth watching. http://bit.ly/7dpBpI #tcot #Palin"
POLIT,"RT @indiancountry: Pelosi shares meeting with tribal leaders- http://www.indiancountrytoday.com/home/content/69375627.html"
